Data;INSOLACAO;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR
2007-01;253,7;37,3;31,816129;28,268387;26,090323;75,274194
2007-02;134,6;329;30,714286;27,134286;24,392857;81,098214
2007-03;167;340,5;30,922581;26,985161;23,790323;81,862903
2007-04;155,6;359,4;30,936667;26,996667;24,023333;83,008333
2007-05;240,8;179,5;31,164516;27,03871;23,977419;80,08871
2007-06;261,4;67,9;30,703333;26,382667;22,976667;77,091667
2007-07;285,8;56,7;30,935484;26,517419;23,016129;78,193548
2007-08;307;0,8;31,241935;26,505806;22,790323;71,306452
2007-09;295,8;2,9;31,67;26,888667;23,36;69,7
2007-10;311,3;0,9;31,309677;27,200645;24,158065;71,056452
2007-11;307,3;3,9;31,72;27,698;24,783333;72,141667
2007-12;241,8;76,2;31,345161;27,572903;24,896774;75,564516
2008-01;188,3;278,4;30,648387;27,070968;24,222581;80,266129
2008-02;244;62,7;31,62069;27,603448;24,310345;76,336207
2008-03;135,1;316,4;30,474194;26,465161;23,296774;83,427419
2008-04;117,6;483,2;30,136667;26,118667;23,356667;87,316667
2008-05;182;288,6;30,435484;26,335484;23,374194;83,653226
2008-06;206;94,7;30,263333;25,922;22,763333;81,166667
2008-07;240,9;10,5;31,074194;26,093548;22,212903;75,354839
2008-08;287,2;54,9;31,341935;26,354194;22,464516;74,556452
2008-09;292,4;0;31,78;27,114667;23,253333;70,425
2008-10;307,4;2;31,887097;27,583226;24,154839;70,564516
2008-11;292,9;2,9;31,846667;27,784667;24,87;72,658333
2008-12;293,9;8;31,916129;27,910323;24,916129;73,145161
2009-01;222,6;162;31,235484;27,314839;24,151613;77,604839
2009-02;163,3;307;30,257143;26,754286;23,932143;82,339286
2009-03;112,7;479,5;29,812903;26,228387;23,596774;86,612903
2009-04;116,5;561;30,013333;26,186;23,306667;87,158333
2009-05;111,9;305,8;29,787097;25,910323;23,232258;88,58871
2009-06;184,2;252,6;30,11;25,999333;22,993333;84,091667
2009-07;235,2;208,8;30,135484;25,728387;22,451613;81,032258
2009-08;270,6;41,3;30,754839;26,285806;22,529032;76,637097
2009-09;280,7;3,4;31,293333;27,032667;23,523333;72,691667
2009-10;298,4;7,5;31,306452;27,100645;23,66129;71,290323
2009-11;301,2;7;31,596667;27,689333;24,533333;71,233333
2009-12;248,4;23,6;31,729032;27,763871;24,787097;76,193548
2010-01;239,7;70,9;31,880645;27,830968;24,296774;76,870968
2010-02;232,9;76,2;32,414286;28,438571;25,271429;77,294643
2010-03;218,4;234,7;32,403226;28,245161;24,893548;78,008065
2010-04;190,1;310;31,953333;27,804;24,356667;82,166667
2010-05;237,2;176,7;31,654839;27,592258;24,293548;80,604839
2010-06;258,2;90,1;31,84;27,128667;23,276667;76,2
2010-07;246,6;54,2;31,816129;26,857419;22,890323;74,08871
2010-08;301,9;3,1;32,158065;27,019355;22,680645;69,322581
2010-09;297,7;0;32,163333;27,130667;23,026667;68,183333
2010-10;295,4;3,8;32,432258;27,777419;24,36129;71,814516
2010-11;298,4;13,2;32,533333;28,142;24,896667;71,108333
2010-12;243,7;76,4;31,996774;27,863871;24,616129;74,814516
2011-01;160,2;668,3;30,574194;26,458065;23,129032;83,91129
2011-02;171,1;308,6;30,725;26,715714;23,596429;84,035714
2011-03;207,4;375,6;31,293548;26,8;23,187097;83,024194
2011-04;115,6;387,3;30,393333;26,113333;22,98;87,066667
2011-05;183,7;160;31,048387;26,670323;23,426667;83,403226
2011-06;206,6;141,4;30,893333;26,34;22,656667;79,983333
2011-07;214,2;123,2;30,845161;26,026452;22,206452;78,741935
2011-08;281,2;24,4;31,535484;26,492258;22,306452;73,491935
2011-09;294,2;0;32,166667;26,828667;22,513333;71,308333
2011-10;271,2;32,8;31,574194;27,252903;23,987097;74,733871
2011-11;284,8;24,4;31,54;27,4;24,15;74,375
2011-12;304,4;14,9;31,748387;27,677419;24,8;73,58871
2012-01;268,8;48,2;31,719355;27,664516;24,980645;75,266129
2012-02;193;210;30,889655;26,773103;23,8;80,818966
2012-03;206,3;302,4;30,641935;26,876774;23,841935;81,725806
2012-04;207,2;152,1;31,066667;27,296;24,35;81,3
2012-05;255;143;31,093548;27,169032;23,967742;78,459677
2012-06;240,4;140,2;30,71;26,698;23,54;79,241667
2012-07;265,6;6,3;31,1;26,672903;23,174194;73,475806
2012-08;287,1;0;31,583871;26,756774;22,93871;70,524194
2012-09;290,3;2,1;31,533333;26,959333;23,72;70,875
2012-10;301;11,3;31,445161;27,306452;24,287097;71,475806
2012-11;306,1;3,7;31,673333;27,706;24,9;71,95
2012-12;290,8;14;31,993548;28,065806;25,53871;74,120968
2013-01;267,4;46,7;31,719355;27,940645;25,403226;76,33871
2013-02;221;109,5;32,292857;28,180714;25,421429;75,669643
2013-03;241,6;72,7;32,032258;28,365806;25,670968;76,951613
2013-04;198,4;154,6;31,416667;27,579333;24,466667;79,975
2013-05;230,6;144,3;31,3;27,423871;24,283871;79,725806
2013-06;207,8;217,9;30,5;26,496;23,533333;81,333333
2013-07;242,6;87;30,564516;26,321935;23,125806;78,274194
2013-08;281;13,5;31,306452;27,087586;23,758621;73,112069
2013-09;285,4;10,5;31,59;27,297333;24,113333;74,241667
2013-10;297;9,4;31,935484;27,630323;24,693548;73,129032
2013-11;260;11,2;31,71;27,742;25;74,558333
2013-12;294,4;10,6;31,945161;28,014839;25,354839;73,379032
2014-01;229,8;67,2;31,467742;27,560645;24,425806;77,346774
2014-02;197,4;144,2;31,032143;27,043571;23,481481;80,178571
2014-03;184,5;330,6;31,164516;27,192903;23,603226;81,112903
2014-04;166,4;266,9;30,92;26,912667;23,49;84,558333
2014-05;191,8;257,1;30,770968;26,696129;23,458065;84,016129
2014-06;231;56;31,23;26,927333;23,266667;78,066667
2014-07;257,3;35,6;31,167742;26,454194;22,348387;75,66129
2014-08;284;1,7;31,564516;26,747742;22,735484;71,620968
2014-09;268,7;7,5;31,64;27,024;23,42;73,491667
2014-10;296,1;4,4;32,151613;27,529032;23,909677;71,362903
2014-11;286,7;18;31,876667;27,514667;24,33;74,141667
2014-12;278,4;48,9;31,770968;27,643226;24,648387;74,209677
2015-01;277,6;72,2;31,493548;27,398065;24,319355;76,274194
2015-02;177,5;144,6;31,532143;27,543571;24,539286;79,1875
2015-03;170,6;377,7;30,732258;26,879355;23,629032;83,403226
2015-04;176,7;296,4;30,86;26,888667;23,64;84,975
2015-05;264,1;81,1;31,748387;27,62;24,119355;79,427419
2015-06;242,5;66,2;30,973333;26,784;23,086667;79,15
2015-07;null;147,5;30,380645;null;22,570968;null
2015-08;null;12,7;30,987097;null;22,867742;null
2015-09;null;15,2;31,16;null;23,913333;null
2015-10;null;1,1;31,825806;null;23,903226;null
2015-11;null;1,2;32,393333;null;24,126667;null
2015-12;null;47,4;32,380645;null;24,848387;null
2016-01;185,5;309,7;31,219355;27,356129;24,403226;82,508065
2016-02;191,4;169,2;31,265517;27,451724;24,327586;82,198276
2016-03;240,6;265;32,154839;28,056129;24,606452;80,629032
2016-04;185,7;411,3;31,183333;27,410667;23,966667;83,05
2016-05;250,6;123,1;31,406452;27,543226;24,003226;80,556452
2016-06;261,1;30,3;31,763333;27,487333;23,89;76,15
2016-07;267,1;5,3;31,793548;27,153548;23,767742;null
2016-08;295,4;9,7;31,729032;27,199355;23,822581;71,766129
2016-09;300,5;9,8;31,743333;27,479333;24,563333;72,466667
2016-10;308,1;7,6;32,451613;27,966452;24,951613;73,483871
2016-11;307,5;7,8;32,566667;28,305333;25,62;74,266667
2016-12;238,3;74,2;32,370968;28,22129;25,480645;75,846774
2017-01;243,9;106,8;31,332258;27,683871;24,841935;78,854839
2017-02;180,8;227,4;31,15;27,353571;24,603571;81,892857
2017-03;113,4;477,9;30,306452;26,632258;23,903226;86,629032
2017-04;173,7;346;30,97;27,238667;24,37;85,116667
2017-05;197,6;136,7;31,364516;27,384516;24,593548;82,008065
2017-06;240,4;48;31,613333;27,384;24,166667;77,675
2017-07;229,9;78,1;31,596774;26,593548;23,093548;75,419355
2017-08;286,8;1,5;31,56129;27,085806;23,712903;73,379032
2017-09;289,6;7,4;32,023333;27,341333;23,93;70,8
2017-10;290,6;10,7;32,067742;27,677419;24,629032;72,451613
2017-11;291,7;9,5;31,776667;27,745333;25,003333;72,925
2017-12;275,4;20,7;31,954839;28,141935;25,596774;74,725806
2018-01;221,1;151,6;31,535484;27,60129;24,496774;77,620968
2018-02;150,4;229,5;30,432143;26,767857;24,075;83,446429
2018-03;210,1;277,4;31,277419;27,576774;24,535484;80,612903
2018-04;166;185,8;31,193333;26,874;23,766667;82,558333
2018-05;187,1;217,1;31,183871;26,986452;23,983871;80,483871
2018-06;237,3;51,2;30,973333;26,606;23,23;76,858333
2018-07;240,1;197,4;30,848387;26,403226;23,151613;76,16129
2018-08;264,9;21;31,209677;26,812903;23,754839;74,314516
2018-09;285;5,4;31,85;27,229333;24,11;72,408333
2018-10;285,1;6,3;31,948387;27,723871;24,951613;72,193548
2018-11;272,9;3,3;32,523333;28,292;25,643333;72,358333
2018-12;232,6;197,3;31,674194;27,567097;24,632258;78,903226
2019-01;197,4;210,2;31,193548;27,481935;24,709677;81,572581
2019-02;141,8;319,3;31,053571;27,147143;24,478571;84,982143
2019-03;109,6;397,6;30,303226;26,353548;23,806452;90,177419
2019-04;98;430,4;30,426667;26,698667;24,05;87,908333
2019-05;172,9;353,4;31,106452;27,130968;24,193548;84,572581
2019-06;186,2;206,1;30,728;26,7448;23,664;80,125
2019-07;210,8;49,5;30,792593;26,545185;23,340741;78,15
2019-08;234;18,7;31,277778;26,647407;23,225926;73
2019-09;229,6;8,9;31,428;27,156;24,364;73,36
2019-10;256;9,1;31,874074;27,454074;24,477778;71,925926
2019-11;264,9;2,8;32,45;28,136154;25,361538;72,615385
2019-12;null;null;null;null;null;null
2020-01;171;186,2;31,288889;27,685926;25,022222;81,037037
2020-02;113,6;345,4;30,876;27,2536;24,416;84,76
2020-03;107,5;306,2;31,488462;27,418462;24,630769;85,769231
2020-04;102,8;473,5;31,326923;27,316923;24,388462;87,269231
2020-05;163,6;234,1;31,415385;27,296923;24,330769;84,115385
2020-06;149,3;74,1;30,723077;26,755;23,876923;82,653846
2020-07;209,4;60,8;30,785185;26,348148;23,022222;76,5
2020-08;231,8;0,4;31,503846;26,7856;23,315385;72,44
2020-09;240,1;5,3;31,665385;27,229231;24,238462;68,653846
2020-10;261,7;15,9;32,151852;27,861481;24,881481;72,62963
2020-11;215,7;16,1;32,275;28,3125;25,576;74,833333
2020-12;null;null;null;null;null;null
2021-01;174,4;115,2;31,652;27,8112;25,415385;78,88
2021-02;164,8;null;31,420833;27,782609;25,243478;81,208333
2021-03;131,1;336,2;30,562963;26,946154;23,962963;86,222222
2021-04;175,3;109,1;31,891667;27,7075;24,441667;82,291667
2021-05;null;null;null;null;null;null
2021-06;null;null;31,33;27,147;24,257143;81,157895
2021-07;null;null;31,271429;27,101905;24,05;76,568182
2021-08;null;null;32,259091;27,56381;24,247619;71,363636
2021-09;null;null;32,677273;27,975238;25,045455;73,590909
2021-10;null;null;32,675;28,287;25,442857;73,05
2021-11;null;null;33,013636;28,763636;25,95;73,818182
2021-12;null;null;null;null;null;null
2022-01;null;null;31,228571;27,173333;24,028571;84,857143
2022-02;null;null;31,775;27,79;24,645;82,25
2022-03;null;null;30,963158;26,941111;24,177778;87,263158
2022-04;null;null;31,02381;26,952381;24,057143;87,190476
2022-05;null;null;30,618182;26,654545;23,913636;87,727273
2022-06;null;null;30,252381;26,118095;23,195455;82,52381
2022-07;null;null;null;null;null;null
2022-08;null;null;31,527273;26,629524;23,009091;72,590909
2022-09;null;null;31,986364;27,241905;24,218182;72,454545
2022-10;null;null;32,44;27,877;25;72
2022-11;null;null;32,414286;27,840952;24,719048;75,238095
2022-12;null;null;32,463636;28,22381;25,1;74,318182
